"region","hushållsstorlek","X2019"
"Sunne","uppgift saknas",2
"Karlstad","1 person",21096
"Karlstad","2 personer",27980
"Karlstad","3 personer",14907
"Karlstad","4 personer",18828
"Karlstad","5 personer",7125
"Karlstad","6 personer",2256
"Karlstad","7+ personer",1597
"Karlstad","uppgift saknas",109
"Kristinehamn","1 person",5234
"Kristinehamn","2 personer",7804
"Kristinehamn","3 personer",3576
"Kristinehamn","4 personer",4248
"Kristinehamn","5 personer",2020
"Kristinehamn","6 personer",786
"Kristinehamn","7+ personer",551
"Kristinehamn","uppgift saknas",36
"Filipstad","1 person",2574
"Filipstad","2 personer",3432
"Filipstad","3 personer",1389
"Filipstad","4 personer",1512
"Filipstad","5 personer",875
"Filipstad","6 personer",348
"Filipstad","7+ personer",494
"Filipstad","uppgift saknas",20
"Hagfors","1 person",2688
"Hagfors","2 personer",4242
"Hagfors","3 personer",1680
"Hagfors","4 personer",1752
"Hagfors","5 personer",790
"Hagfors","6 personer",228
"Hagfors","7+ personer",217
"Hagfors","uppgift saknas",9
"Arvika","1 person",5540
"Arvika","2 personer",8292
"Arvika","3 personer",4065
"Arvika","4 personer",4880
"Arvika","5 personer",2130
"Arvika","6 personer",732
"Arvika","7+ personer",387
"Arvika","uppgift saknas",19
"Säffle","1 person",3130
"Säffle","2 personer",5036
"Säffle","3 personer",2253
"Säffle","4 personer",2760
"Säffle","5 personer",1205
"Säffle","6 personer",552
"Säffle","7+ personer",504
"Säffle","uppgift saknas",15
"Lekeberg","1 person",1241
"Lekeberg","2 personer",2254
"Lekeberg","3 personer",1257
"Lekeberg","4 personer",2088
"Lekeberg","5 personer",950
"Lekeberg","6 personer",252
"Lekeberg","7+ personer",188
"Lekeberg","uppgift saknas",4
"Laxå","1 person",1197
"Laxå","2 personer",2040
"Laxå","3 personer",810
"Laxå","4 personer",832
"Laxå","5 personer",415
"Laxå","6 personer",186
"Laxå","7+ personer",190
"Laxå","uppgift saknas",13
"Hallsberg","1 person",2806
"Hallsberg","2 personer",4638
"Hallsberg","3 personer",2547
"Hallsberg","4 personer",3360
"Hallsberg","5 personer",1565
"Hallsberg","6 personer",606
"Hallsberg","7+ personer",394
"Hallsberg","uppgift saknas",16
"Degerfors","1 person",2033
"Degerfors","2 personer",3248
"Degerfors","3 personer",1482
"Degerfors","4 personer",1684
"Degerfors","5 personer",775
"Degerfors","6 personer",264
"Degerfors","7+ personer",173
"Degerfors","uppgift saknas",7
"Hällefors","1 person",1696
"Hällefors","2 personer",2334
"Hällefors","3 personer",885
"Hällefors","4 personer",936
"Hällefors","5 personer",495
"Hällefors","6 personer",222
"Hällefors","7+ personer",420
"Hällefors","uppgift saknas",25
"Ljusnarsberg","1 person",1180
"Ljusnarsberg","2 personer",1646
"Ljusnarsberg","3 personer",648
"Ljusnarsberg","4 personer",708
"Ljusnarsberg","5 personer",350
"Ljusnarsberg","6 personer",144
"Ljusnarsberg","7+ personer",85
"Ljusnarsberg","uppgift saknas",10
"Örebro","1 person",31771
"Örebro","2 personer",43144
"Örebro","3 personer",23769
"Örebro","4 personer",31684
"Örebro","5 personer",14020
"Örebro","6 personer",5442
"Örebro","7+ personer",5615
"Örebro","uppgift saknas",251
"Kumla","1 person",3568
"Kumla","2 personer",5794
"Kumla","3 personer",3690
"Kumla","4 personer",5396
"Kumla","5 personer",2190
"Kumla","6 personer",624
"Kumla","7+ personer",456
"Kumla","uppgift saknas",20
"Askersund","1 person",2195
"Askersund","2 personer",4110
"Askersund","3 personer",1593
"Askersund","4 personer",2000
"Askersund","5 personer",970
"Askersund","6 personer",342
"Askersund","7+ personer",159
"Askersund","uppgift saknas",8
"Karlskoga","1 person",6323
"Karlskoga","2 personer",9646
"Karlskoga","3 personer",4863
"Karlskoga","4 personer",5564
"Karlskoga","5 personer",2345
"Karlskoga","6 personer",852
"Karlskoga","7+ personer",739
"Karlskoga","uppgift saknas",49
"Nora","1 person",1994
"Nora","2 personer",3406
"Nora","3 personer",1608
"Nora","4 personer",2144
"Nora","5 personer",945
"Nora","6 personer",408
"Nora","7+ personer",213
"Nora","uppgift saknas",8
"Lindesberg","1 person",4431
"Lindesberg","2 personer",7512
"Lindesberg","3 personer",3627
"Lindesberg","4 personer",4468
"Lindesberg","5 personer",1825
"Lindesberg","6 personer",840
"Lindesberg","7+ personer",853
"Lindesberg","uppgift saknas",32
"Skinnskatteberg","1 person",960
"Skinnskatteberg","2 personer",1490
"Skinnskatteberg","3 personer",639
"Skinnskatteberg","4 personer",684
"Skinnskatteberg","5 personer",365
"Skinnskatteberg","6 personer",126
"Skinnskatteberg","7+ personer",121
"Skinnskatteberg","uppgift saknas",8
"Surahammar","1 person",1736
"Surahammar","2 personer",3286
"Surahammar","3 personer",1512
"Surahammar","4 personer",2052
"Surahammar","5 personer",960
"Surahammar","6 personer",324
"Surahammar","7+ personer",219
"Surahammar","uppgift saknas",17
"Kungsör","1 person",1439
"Kungsör","2 personer",2798
"Kungsör","3 personer",1332
"Kungsör","4 personer",1628
"Kungsör","5 personer",910
"Kungsör","6 personer",336
"Kungsör","7+ personer",224
"Kungsör","uppgift saknas",8
"Hallstahammar","1 person",3082
"Hallstahammar","2 personer",4956
"Hallstahammar","3 personer",2559
"Hallstahammar","4 personer",3016
"Hallstahammar","5 personer",1470
"Hallstahammar","6 personer",558
"Hallstahammar","7+ personer",683
"Hallstahammar","uppgift saknas",22
"Norberg","1 person",1198
"Norberg","2 personer",1958
"Norberg","3 personer",882
"Norberg","4 personer",824
"Norberg","5 personer",490
"Norberg","6 personer",180
"Norberg","7+ personer",152
"Norberg","uppgift saknas",6
"Västerås","1 person",28444
"Västerås","2 personer",42764
"Västerås","3 personer",25020
"Västerås","4 personer",32584
"Västerås","5 personer",14420
"Västerås","6 personer",5082
"Västerås","7+ personer",5434
"Västerås","uppgift saknas",301
"Sala","1 person",4355
"Sala","2 personer",7022
"Sala","3 personer",3396
"Sala","4 personer",4476
"Sala","5 personer",2125
"Sala","6 personer",780
"Sala","7+ personer",713
"Sala","uppgift saknas",27
"Fagersta","1 person",2913
"Fagersta","2 personer",3988
"Fagersta","3 personer",1899
"Fagersta","4 personer",2324
"Fagersta","5 personer",1245
"Fagersta","6 personer",510
"Fagersta","7+ personer",487
"Fagersta","uppgift saknas",25
"Köping","1 person",5241
"Köping","2 personer",8040
"Köping","3 personer",3705
"Köping","4 personer",4780
"Köping","5 personer",2395
"Köping","6 personer",1110
"Köping","7+ personer",905
"Köping","uppgift saknas",38
"Arboga","1 person",2805
"Arboga","2 personer",4610
"Arboga","3 personer",2082
"Arboga","4 personer",2692
"Arboga","5 personer",1150
"Arboga","6 personer",402
"Arboga","7+ personer",314
"Arboga","uppgift saknas",32
"Vansbro","1 person",1508
"Vansbro","2 personer",2098
"Vansbro","3 personer",1074
"Vansbro","4 personer",1252
"Vansbro","5 personer",610
"Vansbro","6 personer",156
"Vansbro","7+ personer",103
"Vansbro","uppgift saknas",4
"Malung-Sälen","1 person",2106
"Malung-Sälen","2 personer",3244
"Malung-Sälen","3 personer",1698
"Malung-Sälen","4 personer",1968
"Malung-Sälen","5 personer",690
"Malung-Sälen","6 personer",204
"Malung-Sälen","7+ personer",221
"Malung-Sälen","uppgift saknas",7
"Gagnef","1 person",1484
"Gagnef","2 personer",3304
"Gagnef","3 personer",1665
"Gagnef","4 personer",2052
"Gagnef","5 personer",995
"Gagnef","6 personer",390
"Gagnef","7+ personer",412
"Gagnef","uppgift saknas",2
"Leksand","1 person",2938
"Leksand","2 personer",5012
"Leksand","3 personer",2427
"Leksand","4 personer",3236
"Leksand","5 personer",1360
"Leksand","6 personer",486
"Leksand","7+ personer",334
"Leksand","uppgift saknas",14
"Rättvik","1 person",2370
"Rättvik","2 personer",3778
"Rättvik","3 personer",1674
"Rättvik","4 personer",1804
"Rättvik","5 personer",850
"Rättvik","6 personer",252
"Rättvik","7+ personer",218
"Rättvik","uppgift saknas",4
"Orsa","1 person",1433
"Orsa","2 personer",2284
"Orsa","3 personer",1272
"Orsa","4 personer",1044
"Orsa","5 personer",495
"Orsa","6 personer",204
"Orsa","7+ personer",173
"Orsa","uppgift saknas",6
"Älvdalen","1 person",1461
"Älvdalen","2 personer",2124
"Älvdalen","3 personer",1110
"Älvdalen","4 personer",1276
"Älvdalen","5 personer",630
"Älvdalen","6 personer",228
"Älvdalen","7+ personer",196
"Älvdalen","uppgift saknas",6
"Smedjebacken","1 person",2076
"Smedjebacken","2 personer",3970
"Smedjebacken","3 personer",1518
"Smedjebacken","4 personer",1896
"Smedjebacken","5 personer",890
"Smedjebacken","6 personer",258
"Smedjebacken","7+ personer",273
"Smedjebacken","uppgift saknas",13
"Mora","1 person",3961
"Mora","2 personer",6596
"Mora","3 personer",3456
"Mora","4 personer",3900
"Mora","5 personer",1705
"Mora","6 personer",558
"Mora","7+ personer",280
"Mora","uppgift saknas",14
"Falun","1 person",11038
"Falun","2 personer",17652
"Falun","3 personer",9201
"Falun","4 personer",12820
"Falun","5 personer",5845
"Falun","6 personer",1530
"Falun","7+ personer",1259
"Falun","uppgift saknas",61
"Borlänge","1 person",10118
"Borlänge","2 personer",14796
"Borlänge","3 personer",8055
"Borlänge","4 personer",9644
"Borlänge","5 personer",4770
"Borlänge","6 personer",2298
"Borlänge","7+ personer",2794
"Borlänge","uppgift saknas",115
"Säter","1 person",1969
"Säter","2 personer",3504
"Säter","3 personer",1776
"Säter","4 personer",2344
"Säter","5 personer",975
"Säter","6 personer",282
"Säter","7+ personer",236
"Säter","uppgift saknas",7
"Hedemora","1 person",3282
"Hedemora","2 personer",4914
"Hedemora","3 personer",2337
"Hedemora","4 personer",2608
"Hedemora","5 personer",1375
"Hedemora","6 personer",564
"Hedemora","7+ personer",391
"Hedemora","uppgift saknas",20
"Avesta","1 person",4929
"Avesta","2 personer",7170
"Avesta","3 personer",3594
"Avesta","4 personer",4032
"Avesta","5 personer",2015
"Avesta","6 personer",696
"Avesta","7+ personer",710
"Avesta","uppgift saknas",32
"Ludvika","1 person",5814
"Ludvika","2 personer",8214
"Ludvika","3 personer",3972
"Ludvika","4 personer",4688
"Ludvika","5 personer",2245
"Ludvika","6 personer",936
"Ludvika","7+ personer",989
"Ludvika","uppgift saknas",40
"Ockelbo","1 person",1277
"Ockelbo","2 personer",2016
"Ockelbo","3 personer",870
"Ockelbo","4 personer",1028
"Ockelbo","5 personer",435
"Ockelbo","6 personer",186
"Ockelbo","7+ personer",90
"Ockelbo","uppgift saknas",6
"Hofors","1 person",2006
"Hofors","2 personer",3148
"Hofors","3 personer",1461
"Hofors","4 personer",1692
"Hofors","5 personer",810
"Hofors","6 personer",216
"Hofors","7+ personer",240
"Hofors","uppgift saknas",15
"Ovanåker","1 person",2315
"Ovanåker","2 personer",3852
"Ovanåker","3 personer",1794
"Ovanåker","4 personer",2056
"Ovanåker","5 personer",1000
"Ovanåker","6 personer",342
"Ovanåker","7+ personer",302
"Ovanåker","uppgift saknas",9
"Nordanstig","1 person",1799
"Nordanstig","2 personer",3022
"Nordanstig","3 personer",1494
"Nordanstig","4 personer",1636
"Nordanstig","5 personer",910
"Nordanstig","6 personer",342
"Nordanstig","7+ personer",268
"Nordanstig","uppgift saknas",6
"Ljusdal","1 person",3882
"Ljusdal","2 personer",6014
"Ljusdal","3 personer",2871
"Ljusdal","4 personer",3484
"Ljusdal","5 personer",1770
"Ljusdal","6 personer",552
"Ljusdal","7+ personer",356
"Ljusdal","uppgift saknas",20
"Gävle","1 person",20843
"Gävle","2 personer",29012
"Gävle","3 personer",16764
"Gävle","4 personer",21604
"Gävle","5 personer",8290
"Gävle","6 personer",3132
"Gävle","7+ personer",2599
"Gävle","uppgift saknas",174
"Sandviken","1 person",7526
"Sandviken","2 personer",12108
"Sandviken","3 personer",6180
"Sandviken","4 personer",7596
"Sandviken","5 personer",3360
"Sandviken","6 personer",1338
"Sandviken","7+ personer",1079
"Sandviken","uppgift saknas",47
"Söderhamn","1 person",5501
"Söderhamn","2 personer",8418
"Söderhamn","3 personer",3822
"Söderhamn","4 personer",4488
"Söderhamn","5 personer",1845
"Söderhamn","6 personer",738
"Söderhamn","7+ personer",810
"Söderhamn","uppgift saknas",21
"Bollnäs","1 person",5661
"Bollnäs","2 personer",8338
"Bollnäs","3 personer",4245
"Bollnäs","4 personer",4900
"Bollnäs","5 personer",2200
"Bollnäs","6 personer",1008
"Bollnäs","7+ personer",513
"Bollnäs","uppgift saknas",23
"Hudiksvall","1 person",7842
"Hudiksvall","2 personer",11792
"Hudiksvall","3 personer",5883
"Hudiksvall","4 personer",7140
"Hudiksvall","5 personer",3220
"Hudiksvall","6 personer",1044
"Hudiksvall","7+ personer",650
"Hudiksvall","uppgift saknas",36
"Ånge","1 person",2120
"Ånge","2 personer",3074
"Ånge","3 personer",1407
"Ånge","4 personer",1556
"Ånge","5 personer",655
"Ånge","6 personer",270
"Ånge","7+ personer",223
"Ånge","uppgift saknas",11
"Timrå","1 person",3148
"Timrå","2 personer",5498
"Timrå","3 personer",3099
"Timrå","4 personer",3748
"Timrå","5 personer",1550
"Timrå","6 personer",504
"Timrå","7+ personer",414
"Timrå","uppgift saknas",18
"Härnösand","1 person",5382
"Härnösand","2 personer",7792
"Härnösand","3 personer",3873
"Härnösand","4 personer",4516
"Härnösand","5 personer",2205
"Härnösand","6 personer",720
"Härnösand","7+ personer",661
"Härnösand","uppgift saknas",34
"Sundsvall","1 person",19933
"Sundsvall","2 personer",29004
"Sundsvall","3 personer",16665
"Sundsvall","4 personer",20988
"Sundsvall","5 personer",7960
"Sundsvall","6 personer",2616
"Sundsvall","7+ personer",2147
"Sundsvall","uppgift saknas",136
"Kramfors","1 person",4028
"Kramfors","2 personer",6302
"Kramfors","3 personer",2619
"Kramfors","4 personer",3072
"Kramfors","5 personer",1365
"Kramfors","6 personer",438
"Kramfors","7+ personer",447
"Kramfors","uppgift saknas",11
"Sollefteå","1 person",4217
"Sollefteå","2 personer",6268
"Sollefteå","3 personer",2829
"Sollefteå","4 personer",3164
"Sollefteå","5 personer",1575
"Sollefteå","6 personer",528
"Sollefteå","7+ personer",518
"Sollefteå","uppgift saknas",41
"Örnsköldsvik","1 person",9905
"Örnsköldsvik","2 personer",17512
"Örnsköldsvik","3 personer",8553
"Örnsköldsvik","4 personer",11844
"Örnsköldsvik","5 personer",5365
"Örnsköldsvik","6 personer",1620
"Örnsköldsvik","7+ personer",1157
"Örnsköldsvik","uppgift saknas",42
"Ragunda","1 person",1158
"Ragunda","2 personer",1664
"Ragunda","3 personer",816
"Ragunda","4 personer",892
"Ragunda","5 personer",465
"Ragunda","6 personer",174
"Ragunda","7+ personer",112
"Ragunda","uppgift saknas",3
"Bräcke","1 person",1312
"Bräcke","2 personer",2088
"Bräcke","3 personer",984
"Bräcke","4 personer",1092
"Bräcke","5 personer",480
"Bräcke","6 personer",216
"Bräcke","7+ personer",121
"Bräcke","uppgift saknas",5
"Krokom","1 person",2255
"Krokom","2 personer",3976
"Krokom","3 personer",2343
"Krokom","4 personer",3780
"Krokom","5 personer",1720
"Krokom","6 personer",456
"Krokom","7+ personer",429
"Krokom","uppgift saknas",7
"Strömsund","1 person",2691
"Strömsund","2 personer",3752
"Strömsund","3 personer",1632
"Strömsund","4 personer",1856
"Strömsund","5 personer",955
"Strömsund","6 personer",384
"Strömsund","7+ personer",324
"Strömsund","uppgift saknas",11
"Åre","1 person",2163
"Åre","2 personer",3024
"Åre","3 personer",1890
"Åre","4 personer",2624
"Åre","5 personer",1235
"Åre","6 personer",414
"Åre","7+ personer",368
"Åre","uppgift saknas",9
"Berg","1 person",1404
"Berg","2 personer",2184
"Berg","3 personer",1164
"Berg","4 personer",1160
"Berg","5 personer",650
"Berg","6 personer",246
"Berg","7+ personer",250
"Berg","uppgift saknas",3
"Härjedalen","1 person",2232
"Härjedalen","2 personer",3248
"Härjedalen","3 personer",1626
"Härjedalen","4 personer",1736
"Härjedalen","5 personer",780
"Härjedalen","6 personer",318
"Härjedalen","7+ personer",142
"Härjedalen","uppgift saknas",8
"Östersund","1 person",14409
"Östersund","2 personer",18294
"Östersund","3 personer",9762
"Östersund","4 personer",13108
"Östersund","5 personer",5345
"Östersund","6 personer",1686
"Östersund","7+ personer",1107
"Östersund","uppgift saknas",68
"Nordmaling","1 person",1163
"Nordmaling","2 personer",2404
"Nordmaling","3 personer",1140
"Nordmaling","4 personer",1272
"Nordmaling","5 personer",700
"Nordmaling","6 personer",228
"Nordmaling","7+ personer",233
"Nordmaling","uppgift saknas",3
"Bjurholm","1 person",432
"Bjurholm","2 personer",764
"Bjurholm","3 personer",300
"Bjurholm","4 personer",460
"Bjurholm","5 personer",300
"Bjurholm","6 personer",90
"Bjurholm","7+ personer",61
"Bjurholm","uppgift saknas",1
"Vindeln","1 person",1004
"Vindeln","2 personer",1722
"Vindeln","3 personer",780
"Vindeln","4 personer",1028
"Vindeln","5 personer",500
"Vindeln","6 personer",180
"Vindeln","7+ personer",209
"Vindeln","uppgift saknas",0
"Robertsfors","1 person",1099
"Robertsfors","2 personer",2220
"Robertsfors","3 personer",1029
"Robertsfors","4 personer",1328
"Robertsfors","5 personer",760
"Robertsfors","6 personer",186
"Robertsfors","7+ personer",119
"Robertsfors","uppgift saknas",6
"Norsjö","1 person",808
"Norsjö","2 personer",1344
"Norsjö","3 personer",513
"Norsjö","4 personer",692
"Norsjö","5 personer",390
"Norsjö","6 personer",150
"Norsjö","7+ personer",85
"Norsjö","uppgift saknas",4
"Malå","1 person",658
"Malå","2 personer",982
"Malå","3 personer",426
"Malå","4 personer",552
"Malå","5 personer",280
"Malå","6 personer",114
"Malå","7+ personer",54
"Malå","uppgift saknas",2
"Storuman","1 person",1277
"Storuman","2 personer",1834
"Storuman","3 personer",960
"Storuman","4 personer",1008
"Storuman","5 personer",485
"Storuman","6 personer",204
"Storuman","7+ personer",80
"Storuman","uppgift saknas",4
"Sorsele","1 person",548
"Sorsele","2 personer",794
"Sorsele","3 personer",345
"Sorsele","4 personer",480
"Sorsele","5 personer",205
"Sorsele","6 personer",78
"Sorsele","7+ personer",39
"Sorsele","uppgift saknas",0
"Dorotea","1 person",652
"Dorotea","2 personer",810
"Dorotea","3 personer",363
"Dorotea","4 personer",384
"Dorotea","5 personer",200
"Dorotea","6 personer",90
"Dorotea","7+ personer",52
"Dorotea","uppgift saknas",0
"Vännäs","1 person",1414
"Vännäs","2 personer",2620
"Vännäs","3 personer",1410
"Vännäs","4 personer",2028
"Vännäs","5 personer",890
"Vännäs","6 personer",336
"Vännäs","7+ personer",168
"Vännäs","uppgift saknas",6
"Vilhelmina","1 person",1498
"Vilhelmina","2 personer",2000
"Vilhelmina","3 personer",960
"Vilhelmina","4 personer",1140
"Vilhelmina","5 personer",615
"Vilhelmina","6 personer",240
"Vilhelmina","7+ personer",208
"Vilhelmina","uppgift saknas",7
"Åsele","1 person",662
"Åsele","2 personer",886
"Åsele","3 personer",393
"Åsele","4 personer",432
"Åsele","5 personer",240
"Åsele","6 personer",114
"Åsele","7+ personer",64
"Åsele","uppgift saknas",3
"Umeå","1 person",26973
"Umeå","2 personer",36840
"Umeå","3 personer",20142
"Umeå","4 personer",27440
"Umeå","5 personer",11365
"Umeå","6 personer",3408
"Umeå","7+ personer",2601
"Umeå","uppgift saknas",132
"Lycksele","1 person",2486
"Lycksele","2 personer",3736
"Lycksele","3 personer",1809
"Lycksele","4 personer",2304
"Lycksele","5 personer",1145
"Lycksele","6 personer",378
"Lycksele","7+ personer",378
"Lycksele","uppgift saknas",9
"Skellefteå","1 person",13930
"Skellefteå","2 personer",23364
"Skellefteå","3 personer",10575
"Skellefteå","4 personer",14884
"Skellefteå","5 personer",6685
"Skellefteå","6 personer",1728
"Skellefteå","7+ personer",1362
"Skellefteå","uppgift saknas",61
"Arvidsjaur","1 person",1474
"Arvidsjaur","2 personer",2054
"Arvidsjaur","3 personer",879
"Arvidsjaur","4 personer",1144
"Arvidsjaur","5 personer",460
"Arvidsjaur","6 personer",144
"Arvidsjaur","7+ personer",60
"Arvidsjaur","uppgift saknas",5
"Arjeplog","1 person",659
"Arjeplog","2 personer",862
"Arjeplog","3 personer",462
"Arjeplog","4 personer",452
"Arjeplog","5 personer",215
"Arjeplog","6 personer",90
"Arjeplog","7+ personer",45
"Arjeplog","uppgift saknas",0
"Jokkmokk","1 person",1127
"Jokkmokk","2 personer",1582
"Jokkmokk","3 personer",831
"Jokkmokk","4 personer",820
"Jokkmokk","5 personer",305
"Jokkmokk","6 personer",144
"Jokkmokk","7+ personer",106
"Jokkmokk","uppgift saknas",8
"Överkalix","1 person",764
"Överkalix","2 personer",1190
"Överkalix","3 personer",504
"Överkalix","4 personer",440
"Överkalix","5 personer",240
"Överkalix","6 personer",90
"Överkalix","7+ personer",87
"Överkalix","uppgift saknas",0
"Kalix","1 person",3217
"Kalix","2 personer",5670
"Kalix","3 personer",2577
"Kalix","4 personer",2724
"Kalix","5 personer",1070
"Kalix","6 personer",342
"Kalix","7+ personer",274
"Kalix","uppgift saknas",12
"Övertorneå","1 person",906
"Övertorneå","2 personer",1530
"Övertorneå","3 personer",603
"Övertorneå","4 personer",612
"Övertorneå","5 personer",365
"Övertorneå","6 personer",156
"Övertorneå","7+ personer",127
"Övertorneå","uppgift saknas",0
"Pajala","1 person",1431
"Pajala","2 personer",1874
"Pajala","3 personer",819
"Pajala","4 personer",784
"Pajala","5 personer",370
"Pajala","6 personer",270
"Pajala","7+ personer",501
"Pajala","uppgift saknas",3
"Gällivare","1 person",4063
"Gällivare","2 personer",5354
"Gällivare","3 personer",3117
"Gällivare","4 personer",2932
"Gällivare","5 personer",1170
"Gällivare","6 personer",534
"Gällivare","7+ personer",338
"Gällivare","uppgift saknas",21
"Älvsbyn","1 person",1630
"Älvsbyn","2 personer",2682
"Älvsbyn","3 personer",1197
"Älvsbyn","4 personer",1596
"Älvsbyn","5 personer",540
"Älvsbyn","6 personer",240
"Älvsbyn","7+ personer",177
"Älvsbyn","uppgift saknas",4
"Luleå","1 person",16661
"Luleå","2 personer",23882
"Luleå","3 personer",12615
"Luleå","4 personer",15992
"Luleå","5 personer",5800
"Luleå","6 personer",1794
"Luleå","7+ personer",1303
"Luleå","uppgift saknas",58
"Piteå","1 person",8068
"Piteå","2 personer",13702
"Piteå","3 personer",6762
"Piteå","4 personer",8932
"Piteå","5 personer",3445
"Piteå","6 personer",918
"Piteå","7+ personer",416
"Piteå","uppgift saknas",38
"Boden","1 person",5747
"Boden","2 personer",9296
"Boden","3 personer",4575
"Boden","4 personer",5000
"Boden","5 personer",2230
"Boden","6 personer",708
"Boden","7+ personer",492
"Boden","uppgift saknas",32
"Haparanda","1 person",2265
"Haparanda","2 personer",3028
"Haparanda","3 personer",1353
"Haparanda","4 personer",1432
"Haparanda","5 personer",765
"Haparanda","6 personer",348
"Haparanda","7+ personer",474
"Haparanda","uppgift saknas",20
"Kiruna","1 person",4745
"Kiruna","2 personer",6494
"Kiruna","3 personer",3768
"Kiruna","4 personer",4256
"Kiruna","5 personer",1870
"Kiruna","6 personer",810
"Kiruna","7+ personer",905
"Kiruna","uppgift saknas",19
